iter	MultiClass
0	2.288825537
1	2.274446144
2	2.259993762
3	2.246037568
4	2.233784562
5	2.221530146
6	2.207189447
7	2.193567971
8	2.17996143
9	2.165917242
10	2.153045557
11	2.139347572
12	2.125664645
13	2.112161005
14	2.099442348
15	2.087926526
16	2.07382784
17	2.060367752
18	2.046533525
19	2.032559807
20	2.019804317
21	2.006077411
22	1.993521929
23	1.981906459
24	1.967763999
25	1.95472583
26	1.942065463
27	1.929151033
28	1.916951404
29	1.904615331
30	1.892117412
31	1.880287063
32	1.867000707
33	1.855317319
34	1.843254336
35	1.831528589
36	1.819806534
37	1.807585078
38	1.795534381
39	1.783619719
40	1.771216599
41	1.759803279
42	1.749521864
43	1.737515808
44	1.725971947
45	1.71436742
46	1.703070781
47	1.692404442
48	1.681422522
49	1.670164883
50	1.658269439
51	1.646914208
52	1.636320006
53	1.625390852
54	1.613456612
55	1.60370141
56	1.592854459
57	1.581613909
58	1.570636652
59	1.559511373
60	1.548692639
61	1.538054252
62	1.528405753
63	1.517994998
64	1.507062896
65	1.496835757
66	1.486530917
67	1.476384744
68	1.466151853
69	1.457125988
70	1.447390364
71	1.437702961
72	1.427209432
73	1.417401578
74	1.406844185
75	1.396751279
76	1.387018576
77	1.377486214
78	1.367999382
79	1.358785997
80	1.350254129
81	1.341672417
82	1.331794152
83	1.323281818
84	1.314052338
85	1.305037348
86	1.296444072
87	1.287155276
88	1.278215576
89	1.269340502
90	1.260390984
91	1.25222961
92	1.243780162
93	1.234851647
94	1.226686594
95	1.218123949
96	1.210510992
97	1.202550227
98	1.194766743
99	1.185924005
100	1.177789506
101	1.169344319
102	1.161163243
103	1.153501385
104	1.145557969
105	1.137258192
106	1.129920518
107	1.121820991
108	1.114216064
109	1.10633898
110	1.09879664
111	1.091016131
112	1.083344175
113	1.076285319
114	1.069247931
115	1.06213422
116	1.055058902
117	1.047908382
118	1.041366915
119	1.03424264
120	1.027039346
121	1.020301568
122	1.01395149
123	1.006824746
124	0.9999928066
125	0.9928711912
126	0.9859721188
127	0.9794546534
128	0.9728997332
129	0.9662590688
130	0.9597411239
131	0.9534171879
132	0.9470314973
133	0.9408153632
134	0.9343828744
135	0.9282033087
136	0.9218738392
137	0.9156022644
138	0.9094850009
139	0.9036502927
140	0.8978862528
141	0.8919256342
142	0.8858115609
