iter	Passed	Remaining
0	515	1030611
1	886	885865
2	1253	834464
3	1611	804358
4	1953	779265
5	2298	764000
6	2654	755779
7	3024	753084
8	3388	749642
9	3752	746761
10	4121	745310
11	4498	745226
12	4869	744231
13	5230	741925
14	5585	739104
15	5941	736703
16	6294	734289
17	6657	733062
18	7021	732042
19	7390	731634
20	7759	731201
21	8135	731429
22	8497	730425
23	8852	728892
24	9205	727195
25	9551	725167
26	9903	723664
27	10270	723337
28	10635	722874
29	11024	723951
30	11400	724134
31	11747	722455
32	12103	721452
33	12461	720585
34	12825	720070
35	13225	721544
36	13585	720758
37	13946	720076
38	14319	720000
39	14699	720261
40	15088	720948
41	15458	720645
42	15810	719550
43	16161	718462
44	16512	717376
45	16856	716055
46	17230	715963
47	17594	715519
48	17955	714911
49	18308	714043
50	18649	712693
51	19014	712322
52	19378	711874
53	19745	711551
54	20095	710659
55	20443	709681
56	20805	709213
57	21165	708676
58	21534	708462
59	21902	708190
60	22265	707742
61	22669	708596
62	23136	711368
63	23523	711571
64	23971	713601
65	24356	713714
66	24706	712811
67	25094	712977
68	25528	714426
69	25929	714909
70	26324	715200
71	26686	714604
72	27066	714470
73	27470	714962
74	27852	714892
75	28214	714269
76	28581	713807
77	28951	713391
78	29322	713025
79	29676	712245
80	30030	711462
81	30385	710714
82	30754	710324
83	31117	709767
84	31481	709250
85	31829	708384
86	32179	707577
87	32550	707240
88	32922	706908
89	33276	706211
90	33619	705278
91	33990	704941
92	34359	704563
93	34732	704258
94	35094	703744
95	35438	702866
96	35810	702558
97	36171	702015
98	36530	701453
99	36894	700986
100	37250	700380
101	37608	699810
102	37965	699223
103	38322	698651
104	38681	698107
105	39050	697750
106	39401	697083
107	39750	696365
108	40121	696054
109	40488	695668
110	40854	695262
111	41200	694526
112	41557	693966
113	41917	693482
114	42273	692922
115	42638	692515
116	42994	691948
117	43349	691382
118	43701	690782
119	44056	690217
120	44423	689842
121	44787	689432
122	45169	689294
123	45533	688884
124	45878	688173
125	46237	687695
126	46589	687104
127	46952	686687
128	47325	686396
129	47692	686035
130	48043	685447
131	48392	684823
132	48741	684218
133	49106	683828
134	49459	683272
135	49831	682978
136	50189	682498
137	50543	681968
138	50885	681273
139	51243	680804
140	51600	680325
141	51961	679886
142	52350	679819
143	52704	679301
144	53051	678689
145	53410	678237
146	53762	677700
147	54117	677199
148	54493	676968
149	54853	676530
150	55203	675965
151	55564	675547
152	55975	675732
153	56369	675696
154	56741	675404
155	57107	675034
156	57474	674679
157	57870	674666
158	58247	674425
159	58705	675116
160	59065	674670
161	59432	674303
162	59787	673803
163	60159	673493
164	60532	673191
165	60875	672561
166	61226	672023
167	61593	671659
168	61953	671220
169	62321	670873
170	62680	670420
171	63042	670005
172	63398	669532
173	63748	668997
174	64109	668567
175	64481	668266
176	64834	667757
177	65192	667306
178	65562	666980
179	65934	666671
180	66287	666172
181	66657	665846
182	67022	665465
183	67387	665086
184	67745	664639
185	68101	664173
186	68479	663923
187	68851	663611
188	69215	663227
189	69560	662655
190	69907	662109
191	70255	661574
192	70625	661243
193	70977	660750
194	71348	660435
195	71730	660209
196	71769	656851
197	72122	656388
198	72469	655863
199	72816	655349
200	73177	654958
201	73540	654586
202	73713	652531
203	74079	652188
204	74452	651917
205	74823	651614
206	75181	651206
207	75518	650623
208	75869	650152
209	76225	649734
210	76590	649385
211	76957	649058
