period,date,wan,qian,bai,shi,ge,full_number,parse_line
2004001,2004-11-14,9,2,8,8,2,92882,1
2004002,2004-11-16,1,7,3,8,7,17387,2
2004003,2004-11-19,1,8,3,2,8,18328,3
2004004,2004-11-21,4,3,2,4,8,43248,4
2004005,2004-11-22,5,4,1,5,9,54159,5
2004006,2004-11-23,2,6,2,2,5,26225,6
2004007,2004-11-24,3,0,7,4,5,30745,7
2004008,2004-11-25,2,2,6,9,9,22699,8
2004009,2004-11-26,4,1,8,0,9,41809,9
2004010,2004-11-27,2,7,4,6,4,27464,10
2004011,2004-11-28,3,6,4,1,6,36416,11
2004012,2004-11-29,3,0,5,6,4,30564,12
2004013,2004-11-30,0,3,2,3,2,03232,13
2004014,2004-12-01,3,5,9,1,9,35919,14
2004015,2004-12-02,5,9,8,7,2,59872,15
2004016,2004-12-03,4,4,5,1,7,44517,16
2004017,2004-12-04,1,9,3,1,8,19318,17
2004018,2004-12-05,1,2,9,9,8,12998,18
2004019,2004-12-06,7,1,1,4,0,71140,19
2004020,2004-12-07,1,0,9,3,1,10931,20
2004021,2004-12-08,3,9,3,8,6,39386,21
2004022,2004-12-09,5,9,1,9,0,59190,22
2004023,2004-12-10,8,7,1,9,7,87197,23
2004024,2004-12-11,8,8,6,7,9,88679,24
2004025,2004-12-12,6,1,8,6,8,61868,25
2004026,2004-12-13,6,2,1,7,3,62173,26
2004027,2004-12-14,3,6,3,3,9,36339,27
2004028,2004-12-15,0,7,5,1,9,07519,28
2004029,2004-12-16,2,5,6,1,5,25615,29
2004030,2004-12-17,1,2,0,6,0,12060,30
2004031,2004-12-18,3,6,2,1,0,36210,31
2004032,2004-12-19,3,7,8,7,0,37870,32
2004033,2004-12-20,5,0,5,0,2,50502,33
2004034,2004-12-21,9,9,5,2,8,99528,34
2004035,2004-12-22,3,7,4,8,0,37480,35
2004036,2004-12-23,0,0,9,0,4,00904,36
2004037,2004-12-24,3,2,5,9,5,32595,37
2004038,2004-12-25,4,2,5,3,3,42533,38
2004039,2004-12-26,8,0,2,1,2,80212,39
2004040,2004-12-27,5,6,6,4,1,56641,40
2004041,2004-12-28,8,1,4,0,5,81405,41
2004042,2004-12-29,7,8,0,2,4,78024,42
2004043,2004-12-30,7,0,4,3,2,70432,43
2004044,2004-12-31,3,8,2,1,2,38212,44
2005001,2005-01-01,0,5,4,9,7,05497,45
2005002,2005-01-02,3,6,6,1,4,36614,46
2005003,2005-01-03,4,3,1,3,2,43132,47
2005004,2005-01-04,6,7,4,7,6,67476,48
2005005,2005-01-05,2,9,9,5,5,29955,49
2005006,2005-01-06,4,2,0,5,9,42059,50
2005007,2005-01-07,4,3,5,1,6,43516,51
2005008,2005-01-08,2,8,1,2,6,28126,52
2005009,2005-01-09,8,6,9,8,0,86980,53
2005010,2005-01-10,4,1,6,7,1,41671,54
2005011,2005-01-11,2,0,4,5,5,20455,55
2005012,2005-01-12,1,9,6,6,2,19662,56
2005013,2005-01-13,6,1,3,2,6,61326,57
2005014,2005-01-14,0,8,5,4,2,08542,58
2005015,2005-01-15,3,6,7,4,7,36747,59
2005016,2005-01-16,6,6,5,7,3,66573,60
2005017,2005-01-17,1,5,7,4,9,15749,61
2005018,2005-01-18,0,5,5,9,6,05596,62
2005019,2005-01-19,5,7,4,7,9,57479,63
2005020,2005-01-20,9,2,2,4,3,92243,64
2005021,2005-01-21,0,0,1,4,8,00148,65
2005022,2005-01-22,9,3,8,2,4,93824,66
2005023,2005-01-23,0,8,0,2,5,08025,67
2005024,2005-01-24,3,1,2,5,4,31254,68
2005025,2005-01-25,7,5,5,9,4,75594,69
2005026,2005-01-26,2,7,7,1,6,27716,70
2005027,2005-01-27,0,1,4,4,2,01442,71
2005028,2005-01-28,8,6,2,0,2,86202,72
2005029,2005-01-29,6,2,8,7,3,62873,73
2005030,2005-01-30,4,5,9,2,4,45924,74
2005031,2005-01-31,5,0,4,0,5,50405,75
2005032,2005-02-01,3,6,1,8,6,36186,76
2005033,2005-02-02,5,9,0,9,1,59091,77
2005034,2005-02-03,1,8,6,3,5,18635,78
2005035,2005-02-04,8,3,0,2,0,83020,79
2005036,2005-02-05,9,4,2,3,6,94236,80
2005037,2005-02-06,7,0,8,4,1,70841,81
2005038,2005-02-07,3,1,9,6,6,31966,82
2005039,2005-02-08,0,2,8,8,3,02883,83
2005040,2005-02-16,0,4,7,9,8,04798,84
2005041,2005-02-17,1,3,3,8,2,13382,85
2005042,2005-02-18,2,3,4,1,9,23419,86
2005043,2005-02-19,8,4,5,8,0,84580,87
2005044,2005-02-20,9,5,5,9,3,95593,88
2005045,2005-02-21,4,0,0,6,9,40069,89
2005046,2005-02-22,5,4,5,3,3,54533,90
2005047,2005-02-23,4,2,9,1,1,42911,91
2005048,2005-02-24,7,6,1,0,7,76107,92
2005049,2005-02-25,7,9,0,9,1,79091,93
2005050,2005-02-26,1,0,4,1,7,10417,94
2005051,2005-02-27,2,4,7,6,3,24763,95
2005052,2005-02-28,3,0,6,8,3,30683,96
2005053,2005-03-01,1,7,5,3,8,17538,97
2005054,2005-03-02,5,1,9,0,6,51906,98
2005055,2005-03-03,0,1,4,4,9,01449,99
2005056,2005-03-04,6,0,0,2,8,60028,100
2005057,2005-03-05,8,1,3,2,4,81324,101
2005058,2005-03-06,3,5,3,4,2,35342,102
2005059,2005-03-07,9,8,3,6,1,98361,103
2005060,2005-03-08,9,6,0,6,2,96062,104
2005061,2005-03-09,9,1,2,2,4,91224,105
2005062,2005-03-10,7,9,6,6,6,79666,106
2005063,2005-03-11,1,8,1,6,3,18163,107
2005064,2005-03-12,9,6,9,5,4,96954,108
2005065,2005-03-13,8,9,5,2,2,89522,109
2005066,2005-03-14,6,2,6,7,7,62677,110
2005067,2005-03-15,1,6,9,1,8,16918,111
2005068,2005-03-16,9,0,3,6,6,90366,112
2005069,2005-03-17,7,4,3,1,0,74310,113
2005070,2005-03-18,9,8,4,3,6,98436,114
2005071,2005-03-19,9,1,7,0,1,91701,115
2005072,2005-03-20,2,5,6,9,1,25691,116
2005073,2005-03-21,2,3,2,9,6,23296,117
2005074,2005-03-22,0,0,6,1,1,00611,118
2005075,2005-03-23,7,0,0,5,3,70053,119
2005076,2005-03-24,4,1,8,7,1,41871,120
2005077,2005-03-25,6,4,8,8,4,64884,121
2005078,2005-03-26,8,4,2,7,1,84271,122
2005079,2005-03-27,9,5,9,2,3,95923,123
2005080,2005-03-28,4,9,5,1,9,49519,124
2005081,2005-03-29,2,5,0,5,9,25059,125
2005082,2005-03-30,2,1,6,6,7,21667,126
2005083,2005-03-31,7,0,2,5,4,70254,127
2005084,2005-04-01,2,7,7,2,8,27728,128
2005085,2005-04-02,9,4,2,3,4,94234,129
2005086,2005-04-03,6,3,5,9,4,63594,130
2005087,2005-04-04,1,5,5,8,9,15589,131
2005088,2005-04-05,1,4,4,1,5,14415,132
2005089,2005-04-06,0,9,1,9,0,09190,133
2005090,2005-04-07,0,6,5,6,5,06565,134
2005091,2005-04-08,1,0,2,4,6,10246,135
2005092,2005-04-09,2,9,9,4,3,29943,136
2005093,2005-04-10,8,6,1,6,1,86161,137
2005094,2005-04-11,1,1,2,1,8,11218,138
2005095,2005-04-12,0,6,1,4,1,06141,139
2005096,2005-04-13,9,3,5,1,2,93512,140
2005097,2005-04-14,0,8,5,6,3,08563,141
2005098,2005-04-15,6,7,0,0,5,67005,142
2005099,2005-04-16,6,9,5,6,7,69567,143
2005100,2005-04-17,1,2,7,0,9,12709,144
2005101,2005-04-18,3,2,0,4,8,32048,145
2005102,2005-04-19,4,3,1,2,0,43120,146
2005103,2005-04-20,8,7,3,3,9,87339,147
2005104,2005-04-21,6,8,1,7,3,68173,148
2005105,2005-04-22,3,6,3,2,5,36325,149
2005106,2005-04-23,5,4,0,5,2,54052,150
2005107,2005-04-24,8,3,8,3,1,83831,151
2005108,2005-04-25,3,8,4,1,1,38411,152
2005109,2005-04-26,6,1,0,6,9,61069,153
2005110,2005-04-27,4,1,7,4,5,41745,154
2005111,2005-04-28,0,6,1,5,6,06156,155
2005112,2005-04-29,2,9,8,2,2,29822,156
2005113,2005-04-30,0,0,5,0,8,00508,157
2005114,2005-05-01,8,9,2,0,7,89207,158
2005115,2005-05-02,6,2,6,0,6,62606,159
2005116,2005-05-03,5,6,9,7,3,56973,160
2005117,2005-05-04,9,9,2,8,0,99280,161
2005118,2005-05-05,5,9,3,2,5,59325,162
2005119,2005-05-06,1,1,1,1,3,11113,163
2005120,2005-05-07,1,6,2,3,5,16235,164
2005121,2005-05-08,7,2,9,9,4,72994,165
2005122,2005-05-09,5,4,2,9,2,54292,166
2005123,2005-05-10,9,7,4,8,2,97482,167
2005124,2005-05-11,2,1,9,2,9,21929,168
2005125,2005-05-12,5,0,8,4,4,50844,169
2005126,2005-05-13,5,3,4,6,3,53463,170
2005127,2005-05-14,4,4,5,2,5,44525,171
2005128,2005-05-15,1,6,2,8,9,16289,172
2005129,2005-05-16,7,0,7,4,3,70743,173
2005130,2005-05-17,5,4,6,5,9,54659,174
2005131,2005-05-18,6,6,3,5,1,66351,175
2005132,2005-05-19,8,3,6,5,3,83653,176
2005133,2005-05-20,7,5,9,0,1,75901,177
2005134,2005-05-21,7,0,4,1,9,70419,178
2005135,2005-05-22,7,4,5,0,9,74509,179
2005136,2005-05-23,9,2,8,2,6,92826,180
2005137,2005-05-24,2,5,3,3,8,25338,181
2005138,2005-05-25,0,1,4,5,6,01456,182
2005139,2005-05-26,4,6,2,0,6,46206,183
2005140,2005-05-27,8,9,4,2,2,89422,184
